"Campaign","Ad Group","Ad type","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Description 1","Description 2","Description 3","Description 4","Final URL","Path 1","Path 2"
"C1 | Laser","AG1 - Manchas y melasma","Responsive search ad","Manchas en la cara: láser","Melasma: abordaje médico","Láser para manchas en CABA","Q-Switch y luz pulsada","Diagnóstico de la mancha","No toda mancha es igual","Dermatóloga en Palermo","Tecnología Alma Lasers","Dra. Agustina Gandolfo","Evaluación previa al láser","Manchas solares y léntigos","Plan con fotoprotección","Primero diagnosticamos el tipo de mancha; después elegimos el láser que corresponde.","Melasma, léntigos solares e hiperpigmentación post-acné tienen tratamientos distintos.","Q-Switch, Erbium y luz pulsada Alma. Parámetros ajustados a tu fototipo.","Consultorio en Palermo, Arenales 3819. Reservá tu evaluación con la dermatóloga.","https://www.lumapiel.com.ar/especialidades/tratamientos-laser","laser","manchas"
"C1 | Laser","AG2 - Rosacea y aranitas","Responsive search ad","Rosácea: láser vascular","Arañitas en la cara","Láser Vascupen en Palermo","Telangiectasias faciales","Rojeces: causa y plan","Cierra el vaso dilatado","Dermatóloga en Palermo","Puntos rubí y angiomas","Dra. Agustina Gandolfo","Sin agujas ni inyecciones","Evaluación médica previa","Tecnología Alma Lasers","Láser Vascupen sobre el vaso dilatado: arañitas, puntos rubí y rosácea vascular.","La rosácea tiene fases. Calmamos la piel, buscamos desencadenantes y recién tratamos.","Sesión de 30 minutos, sin agujas. Muchas veces el vaso desaparece en el momento.","Palermo, Arenales 3819. Reservá tu evaluación con médica dermatóloga.","https://www.lumapiel.com.ar/tratamientos/laser-vascupen","laser","rosacea"
"C1 | Laser","AG3 - Cicatrices de acne y poros","Responsive search ad","Cicatrices de acné: láser","Marcas de acné en la cara","Láser Erbium Glass","Poros y textura de piel","Colágeno nuevo, sin dañar","Dermatóloga en Palermo","Recuperación corta","Mejora progresiva y real","Dra. Agustina Gandolfo","Tecnología Alma Lasers","Evaluación médica previa","Cicatriz o mancha, no es igual","Erbium Glass fraccionado: estimula colágeno en profundidad sin lastimar la superficie.","Marcas post-acné, poros y textura irregular. Mejora progresiva entre sesiones.","Distinguimos cicatriz de mancha post-inflamatoria: se tratan de forma distinta.","Palermo, Arenales 3819. Evaluación con médica dermatóloga antes de cualquier láser.","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","laser","cicatrices"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","Responsive search ad","Rejuvenecimiento con láser","Láser Luma Skin Reset","Flacidez: firmeza real","Cuatro láseres, una sesión","Fotodaño y piel opaca","Dermatóloga en Palermo","Resultados naturales","Sin promesas, con proceso","Dra. Agustina Gandolfo","Tecnología Alma Lasers","Evaluación médica previa","Colágeno desde la dermis","Luma Skin Reset combina Q-Switch, Erbium Glass, luz pulsada y Erbium Yag en una sesión.","Trabaja flacidez, fotodaño, tono y luminosidad desde la dermis hacia la superficie.","Tiene post-tratamiento real: 5 a 7 días. Te lo explicamos antes, no después.","Palermo, Arenales 3819. Evaluación con médica dermatóloga para ver si es para vos.","https://www.lumapiel.com.ar/tratamientos/laser-luma-skin-reset","laser","rejuvenecer"
"C1 | Laser","AG5 - Caida de pelo","Responsive search ad","Caída de pelo: diagnóstico","Láser Erbium capilar","Alopecia: plan médico","Mesoterapia y PRP capilar","Primero, por qué se cae","Dermatóloga en Palermo","Examen del cuero cabelludo","Plan individualizado","Dra. Agustina Gandolfo","Sin dolor ni pinchazos","Evaluación médica previa","Estudios si hacen falta","La caída tiene causas distintas: estrés, hormonas, déficits o genética.","Láser Erbium capilar, mesoterapia, PRP y medicación según lo que muestre tu estudio.","Historia clínica, examen del pelo y del cuero cabelludo, y estudios si corresponde.","Palermo, Arenales 3819. Reservá tu consulta con médica dermatóloga.","https://www.lumapiel.com.ar/tratamientos/laser-erbium-capilar","laser","capilar"
"C1 | Laser","AG6 - Ojeras y estrias","Responsive search ad","Ojeras oscuras: láser","Estrías: láser Q-Switch","No toda ojera es igual","Estrías rojas o blancas","Q-Switch en Palermo","Dermatóloga en Palermo","Pigmentaria o vascular","Mejora gradual y real","Dra. Agustina Gandolfo","Tecnología Alma Lasers","Evaluación médica previa","Expectativas claras","La ojera puede ser pigmentaria, vascular o por hundimiento. Solo una responde al láser.","La estría es una cicatriz y se trata como tal. El láser la hace mucho menos visible.","Q-Switch de 1064 nm sobre pigmento y colágeno. Sesiones seriadas, mejora progresiva.","Palermo, Arenales 3819. Te decimos en consulta qué resultado es realista esperar.","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-ojeras","laser","ojeras-estrias"
"C1 | Laser","AG7 - Onicomicosis","Responsive search ad","Hongos en las uñas: láser","Onicomicosis en Palermo","Confirmamos el diagnóstico","Láser + tratamiento médico","Uñas de manos y pies","Dermatóloga en Palermo","Sesión de 30 minutos","Sin dolor ni reposo","Dra. Agustina Gandolfo","Estudio micológico","Plan de 6 sesiones","Control del recambio ungueal","No toda uña engrosada es hongo. Confirmamos con estudio micológico antes de tratar.","El láser crea un ambiente hostil para el hongo y potencia el tratamiento médico.","Aproximadamente 6 sesiones mensuales. La mejoría se ve con el recambio de la uña.","Palermo, Arenales 3819. Consulta con médica dermatóloga, no con estética.","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-onicomicosis","laser","onicomicosis"
"C2 | Toxina botulinica","AG8 - Toxina estetica","Responsive search ad","Toxina botulínica médica","Aplicada por dermatóloga","Naturalidad, no rigidez","Arrugas de expresión","Entrecejo y patas de gallo","Dosis medidas, punto a punto","Dermatóloga en Palermo","Evaluación del gesto","Dra. Agustina Gandolfo","Sin rostro congelado","Arenales 3819, Palermo","Evaluación médica previa","Relaja el músculo que marca la arruga. No rellena: previene que la piel se quiebre.","Dosis medidas y evaluación del gesto punto por punto. Buscamos naturalidad.","Aplicada por médica dermatóloga, MN 176541. Expectativas claras antes de aplicar.","Palermo, Arenales 3819. Reservá tu evaluación online o por WhatsApp.","https://www.lumapiel.com.ar/tratamientos/botox","toxina","arrugas"
"C2 | Toxina botulinica","AG9 - Toxina medica","Responsive search ad","Hiperhidrosis: tratamiento","Sudoración excesiva axilar","Bruxismo: toxina médica","Migraña crónica: abordaje","Indicación médica, no estética","Dermatóloga en Palermo","Dura 4 a 6 meses","Sin reposo ni pastillas","Dra. Agustina Gandolfo","Axilas, manos y pies","Arenales 3819, Palermo","Evaluación médica previa","La toxina bloquea la señal a la glándula sudorípara. La glándula queda intacta.","Hiperhidrosis axilar, palmar o plantar. Es la indicación que mejor responde.","También bruxismo y migraña crónica: misma molécula, uso terapéutico.","Duración aproximada de 4 a 6 meses. Consulta con médica dermatóloga en Palermo.","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-hiperhidrosis","toxina","hiperhidrosis"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","Responsive search ad","Limpieza de cutis médica","Cosmiatría en Palermo","Dentro de un plan médico","Puntos negros y comedones","Con criterio dermatológico","Piel congestionada","Sesión de 60 minutos","Yanina Benavidez, cosmetóloga","Arenales 3819, Palermo","Acné leve y textura","Alineada a tu tratamiento","Higiene profunda real","Limpieza profunda con criterio dermatológico, alineada al plan médico de tu piel.","Comedones, puntos negros, congestión y piel opaca. Sesión de 60 minutos.","Trabajamos junto a la dermatóloga: la cosmiatría acompaña, no reemplaza.","Palermo, Arenales 3819. Reservá online o por WhatsApp.","https://www.lumapiel.com.ar/tratamientos/limpieza-de-cutis","cosmiatria","limpieza"
