Código,Nombre,Descripción,Categoría,Categoría turnera,Modalidad,Precio USD,Precio ARS,Mostrar precio en turnera,Duración (min),Activo,Cantidad equipamientos
TRATAMIENTO - 001,Botox,Tratamiento inyectable para suavizar líneas de expresión y arrugas dinámicas.,Tratamiento Estético,Tratamiento,Presencial,247.75,350318.50,,45,Sí,0
CONSULTA - 002,Consulta - Dermatología de seguimiento,Atención especializada para el diagnóstico y tratamiento de afecciones de la piel.,Consulta,Consulta,Presencial,53.07,75040.98,Sí,30,Sí,0
CONSULTA - 003,Consulta - Dermatología online,Consulta virtual para diagnósticos dermatológicos desde la comodidad de tu hogar.,Consulta,Consulta,Virtual,53.07,75040.98,Sí,40,Sí,0
CONSULTA - 001,Consulta - dermatologia 1° vez,Primera evaluación integral de la salud cutánea para un diagnóstico y plan personalizado.,Consulta,Consulta,Presencial,63.16,89308.24,Sí,60,Sí,0
TRATAMIENTO - 002,Dermapen médico,"Microneedling que estimula el colágeno para mejorar textura, cicatrices y poros.",Tratamiento Estético,Tratamiento,Presencial,193.04,272958.56,,60,Sí,0
TRATAMIENTO - 003,Electrocoagulacion,"Procedimiento para eliminar pequeñas lesiones cutáneas mediante calor eléctrico como fibromas, verrugas.",Tratamiento Estético,Tratamiento,Presencial,35.09,49617.26,,30,Sí,0
TRATAMIENTO - 004,Infiltración Cicatriz / Alopecia,Aplicación directa de medicación en la zona para tratar cicatrices o pérdida capilar.,Tratamiento Estético,Tratamiento,Presencial,49.12,69455.68,,30,Sí,1
PEELING - 002,Limpieza + Peeling TCA - Espalda,"Peeling químico profundo en la espalda para tratar acné, manchas o textura irregular.",Tratamiento Cosmiatría,Tratamiento,Presencial,88.91,125718.74,Sí,60,Sí,0
PEELING - 003,Limpieza + Peeling TCA - Facial,Renovación celular profunda mediante peeling de ácido tricloroacético en el rostro.,Tratamiento Cosmiatría,Tratamiento,Presencial,66.67,94271.38,Sí,60,Sí,0
COSMETOLOGÍA - 001,Limpieza corporal,Exfoliación e hidratación profunda para una piel del cuerpo suave y renovada.,Tratamiento Cosmiatría,Tratamiento,Presencial,76.40,108029.60,Sí,60,Sí,0
COSMETOLOGÍA - 002,Limpieza de cutis,"Procedimiento esencial para remover impurezas, puntos negros y células muertas.",Tratamiento Cosmiatría,Tratamiento,Presencial,36.56,51695.84,Sí,60,Sí,0
PEELING - 001,Limpieza de cutis + peeling mandélico,Limpieza profunda combinada con un peeling suave para iluminar y renovar el rostro.,Tratamiento Cosmiatría,Tratamiento,Presencial,63.02,89110.28,Sí,60,Sí,0
